#OTU ID	SRR521257	SRR521243	SRR521217	SRR521246	SRR521191	SRR521173	SRR521204	SRR521185	SRR521251	SRR521252	SRR521193	SRR521230	SRR521229	SRR521220	SRR521175	SRR521227	SRR521186	SRR521215	SRR521222	SRR521242	SRR521221	SRR521250	SRR521178	SRR521199	SRR521233	SRR521224	SRR521187	SRR518987	SRR515153	SRR521198	SRR521206	SRR521177	SRR521241	SRR521216	SRR521261	SRR521181	SRR521245	SRR521248	SRR521201	SRR521236	SRR521188	SRR521265	SRR521211	SRR521254	SRR521219	SRR521184	SRR521196	SRR521205	SRR521213	SRR521208	SRR521214	SRR521263	SRR521174	SRR521259	SRR521195	SRR521189	SRR521247	SRR521212	SRR521180	SRR521238	SRR521225	SRR521194	SRR521234	SRR521255	SRR521209	SRR521172	SRR521207	SRR521190	SRR521232	SRR521256	SRR521262	SRR521226	SRR521264	SRR521192	SRR521179	SRR521244	SRR521237	SRR521223	SRR521197	SRR521176	SRR521235	SRR521253	SRR521202	SRR521260	SRR521183	SRR521210	SRR521231	SRR521182	SRR521200	SRR521203	SRR521258	SRR521239	SRR521240	SRR521249	SRR521228
NR_026131.1_Clostridium_grantii_strain_A1_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	2	0	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
NR_026105.1_Clostridium_puniceum_strain_BL_70_20_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_025978.1_Desulfovibrio_acrylicus_strain_W218_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_036907.1_Staphylococcus_xylosus_strain_KL_162_16S_ribosomal_RNA_gene__partial_sequence	0	4	0	0	0	0	0	0	29	0	0	2	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	8	0	0	0	1	0	0	1	0	0	0	0	4	3	0	0	0	0	0	0	0	0	1	20	0	3	0
NR_027191.1_Mogibacterium_diversum_strain_HM-7_16S_ribosomal_RNA_gene__partial_sequence	15	2	0	0	2	4	2	2	1	0	1	28	4	0	1	2	3	7	0	38	4	2	0	3	81	1	0	3	2	2	2	2	7	21	10	4	0	0	1	5	1	5	3	11	2	1	2	1	0	8	0	19	2	10	3	1	5	0	1	5	5	1	0	2	4	2	2	2	5	3	7	1	22	1	1	5	4	2	2	1	1	7	7	4	2	1	1	4	1	0	5	8	3	56	0
NR_026413.1_Desulfovibrio_intestinalis_strain_KMS2_16S_ribosomal_RNA_gene__partial_sequence	1	0	0	2	1	0	0	0	0	2	0	6	0	0	0	0	0	2	0	6	0	0	0	0	2	0	1	0	1	0	1	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	1	1	0	1	0	0	0	0	1	1	0	0	0	1	0	0	6	0	0	0	0	1	0	0	0	1	0	0	0	6	0
NR_026204.1_{Clostridium}_viride_strain_T2-7_16S_ribosomal_RNA_gene__partial_sequence	1	2	0	0	6	6	0	5	1	0	15	1	1	2	5	4	2	5	2	0	6	9	3	2	5	0	2	14	11	0	0	6	4	0	2	12	1	1	0	1	2	3	4	3	4	5	3	15	2	2	1	1	2	0	2	6	0	5	5	0	8	30	0	0	3	18	5	2	3	0	0	3	0	2	2	0	1	3	8	5	0	0	1	0	2	0	1	2	1	4	2	3	0	5	1
NR_026248.1_Catonella_morbi_ATCC_51271_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_026209.1_Acinetobacter_lwoffii_strain_DSM_2403_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_026269.1_Brachybacterium_alimentarium_strain_CNRZ_925_16S_ribosomal_RNA_gene__complete_sequence	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_026433.1_Ammoniphilus_oxalivorans_strain_RAOx-FS_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_026459.1_Desulfurella_kamchatkensis_strain_K-119_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_026493.1_{Clostridium}_indolis_strain_7_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_028915.1_Anaerostipes_caccae_strain_L1-92_16S_ribosomal_RNA_gene__partial_sequence	1	0	0	0	4	0	0	0	0	1	1	4	0	1	2	3	0	10	0	0	12	3	1	1	2	0	1	2	0	0	0	5	2	0	0	9	1	0	0	0	1	0	4	2	3	0	0	5	0	0	1	1	1	0	1	4	0	0	0	0	1	1	0	1	0	2	5	5	0	1	0	1	5	0	1	0	0	0	5	2	0	0	0	0	1	1	0	0	1	9	3	0	0	1	0
NR_028816.1_Turicibacter_sanguinis_strain_MOL361_16S_ribosomal_RNA_gene__complete_sequence	0	0	1	0	0	2	0	1	0	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	4	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_027558.1_Anaerotruncus_colihominis_strain_WAL_14565_16S_ribosomal_RNA_gene__partial_sequence	0	1	0	0	0	0	0	0	0	0	1	0	0	3	1	3	0	3	0	0	0	0	0	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	2	3	0	3	0	0	0	4	0	0	1	0	0	1	0	0	1	0	0	4	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
NR_028656.1_Herbaspirillum_huttiense_subsp._putei_strain_7-2_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_028883.1_Dorea_longicatena_strain_111-35_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_029146.1_Sedimentibacter_hydroxybenzoicus_strain_JW_Z-1_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NR_029143.1_Mycobacterium_celatum_strain_ATCC_51131_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_029097.1_Oribacterium_sinus_strain_AIP_354.02_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_028961.1_Faecalibacterium_prausnitzii_strain_ATCC_27768_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_029335.1_Holdemania_filiformis_strain_J1-31B-1_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_029250.1_Clostridium_proteolyticum_strain_CG_16S_ribosomal_RNA_gene__complete_sequence	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_029267.1_Clostridium_formicaceticum_strain_A1_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_029268.1_Oxobacter_pfennigii_strain_V_5-2_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
NR_029313.1_Anaerofilum_pentosovorans_strain_Fae_16S_ribosomal_RNA_gene__partial_sequence	0	1	0	0	1	0	0	2	0	0	4	0	0	0	1	1	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NR_036869.2_Syntrophococcus_sucromutans_strain_S195_16S_ribosomal_RNA_gene__complete_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_036776.1_Blautia_producta_strain_2396_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	2	0	3	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_040925.1_Paludibacter_propionicigenes_strain_WB4_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NR_036928.1_{Clostridium}_hathewayi_strain_1313_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	6	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0
