#SampleID	Var	ControlVar
SRS015125.571221	Oral	969:241850
SRS014911.575258	Oral	969:241808
SRS016525.572650	Oral	969:241831
SRS054390.575145	Oral	969:241874
SRS015025.570843	Oral	969:241718
SRS014809.576477	Oral	969:241793
SRS055157.573167	Oral	969:241872
SRS015182.573454	Oral	969:241675
SRS053052.575673	Oral	969:257131
SRS014978.570429	Gastrointestinal_tract	969:241727
SRS016121.571166	Oral	969:241701
SRS018427.575694	Gastrointestinal_tract	969:241826
SRS014952.574697	Oral	969:241727
SRS015671.573315	Oral	969:241845
SRS019990.576063	Gastrointestinal_tract	969:241847
SRS018593.575246	Oral	969:241758
SRS015782.570244	Gastrointestinal_tract	969:241685
SRS050733.571338	Gastrointestinal_tract	969:241859
SRS018068.575993	Gastrointestinal_tract	969:241836
SRS013386.571770	Gastrointestinal_tract	969:241666
SRS014950.571663	Oral	969:241727
SRS018133.570446	Gastrointestinal_tract	969:241828
SRS013386.571797	Gastrointestinal_tract	969:241666
SRS045258.575468	Oral	969:241864
SRS013565.573312	Oral	969:241796
SRS018149.573890	Oral	969:241828
SRS042643.570444	Oral	969:241886
SRS015454.574299	Oral	969:241743
SRS057473.573064	Oral	969:241884
SRS016630.575910	Gastrointestinal_tract	969:241713
SRS045980.571975	Oral	969:241853
SRS014653.570943	Oral	969:241720
SRS015178.574807	Oral	969:241675
SRS047414.572957	Oral	969:241884
SRS016862.573130	Oral	969:241745
SRS013197.571222	Oral	969:241704
SRS018625.572969	Oral	969:241692
SRS014275.574417	Oral	969:241825
SRS065341.571267	Oral	969:268869
SRS015566.575820	Oral	969:241802
SRS014273.575308	Oral	969:241825
SRS014273.574619	Oral	969:241825
SRS011561.575154	Oral	969:241834
SRS020885.574502	Oral	969:241679
SRS015180.573617	Oral	969:241675
SRS011561.573026	Oral	969:241834
SRS017709.573178	Oral	969:241710
SRS049973.576179	Oral	969:241852
SRS013813.575942	Oral	969:241794
SRS053061.575205	Oral	969:241869
SRS016868.574746	Oral	969:241745
SRS011629.573718	Oral	969:241795
SRS015572.573107	Oral	969:241802
SRS044041.570400	Oral	969:241864
SRS016533.576206	Oral	969:241831
SRS015119.573997	Oral	969:241850
SRS043574.573665	Oral	969:257131
SRS016164.570371	Oral	969:241696
SRS020306.576381	Oral	969:241829
SRS055141.571452	Oral	969:241864
SRS020014.574061	Oral	969:241847
SRS020304.573499	Oral	969:241829
SRS021732.573881	Oral	969:241706
SRS020413.572892	Gastrointestinal_tract	969:241680
SRS018587.575974	Oral	969:241758
SRS011655.572054	Oral	969:241764
SRS055808.573040	Oral	969:241857
SRS056834.574669	Oral	969:241874
SRS021740.572632	Oral	969:241706
SRS046281.576374	Oral	969:257127
SRS051886.573889	Oral	969:241886
SRS052501.572374	Oral	969:241853
SRS011429.574227	Oral	969:241709
SRS042258.573417	Oral	969:241879
SRS054576.573402	Oral	969:241886
SRS016871.571376	Oral	969:241745
SRS055003.570393	Oral	969:241854
SRS023671.575037	Gastrointestinal_tract	969:241751
SRS043730.575013	Oral	969:241854
SRS014915.571302	Oral	969:241808
SRS047957.570835	Oral	969:257131
SRS020891.572457	Oral	969:241679
SRS013510.570573	Oral	969:241676
SRS047607.570634	Oral	969:241854
SRS017837.571666	Oral	969:241711
SRS011535.575897	Oral	969:241837
SRS016712.570618	Oral	969:241836
SRS011409.576237	Oral	969:241834
SRS011661.573879	Oral	969:241764
SRS016716.573817	Oral	969:241836
SRS011506.574471	Oral	969:241702
SRS021081.573953	Oral	969:241694
SRS018745.576424	Oral	969:241832
SRS043351.571752	Oral	969:241875
SRS016533.571138	Oral	969:241831
SRS013646.573719	Oral	969:241672
SRS013557.570611	Oral	969:241796
SRS016716.572754	Oral	969:241836
SRS016066.571811	Oral	969:241741
SRS022175.574256	Oral	969:241683
SRS017904.574100	Oral	969:241799
SRS011423.572874	Oral	969:241709
SRS016853.571185	Oral	969:241745
SRS053264.576466	Oral	969:241860
SRS015360.573010	Oral	969:241811
SRS014430.573316	Oral	969:241812
SRS015174.572189	Oral	969:241675
SRS016543.575570	Oral	969:241831
SRS017130.575771	Oral	969:241814
SRS018141.572200	Oral	969:241828
SRS021386.572404	Oral	969:241774
SRS016865.574316	Oral	969:241745
SRS057634.575882	Oral	969:241878
SRS042387.574196	Gastrointestinal_tract	969:257131
SRS016862.576610	Oral	969:241745
SRS022241.570450	Oral	969:241786
SRS011279.576265	Oral	969:241748
SRS014275.575148	Oral	969:241825
SRS017124.576004	Oral	969:241814
SRS013825.572231	Oral	969:241794
SRS014803.570813	Oral	969:241793
SRS015919.571041	Oral	969:241778
SRS016349.575027	Oral	969:241839
SRS011600.572819	Oral	969:241783
SRS014815.574963	Oral	969:241793
SRS013543.571468	Gastrointestinal_tract	969:241796
SRS022171.575220	Oral	969:241683
SRS045460.575845	Oral	969:241860
SRS011271.570242	Gastrointestinal_tract	969:241748
SRS062607.571555	Oral	969:268869
SRS016364.575956	Oral	969:241839
SRS054065.574892	Oral	969:241857
SRS047410.570559	Oral	969:241879
SRS047983.574373	Oral	969:241855
SRS043032.573038	Oral	969:241873
SRS049634.572906	Oral	969:241878
SRS042643.572446	Oral	969:241886
SRS057595.575730	Oral	969:241872
SRS045314.571554	Oral	969:241853
SRS017657.576110	Oral	969:241775
SRS052245.576072	Oral	969:241863
SRS044415.571480	Gastrointestinal_tract	969:241860
SRS016954.573937	Gastrointestinal_tract	969:241705
SRS015976.572329	Oral	969:241769
SRS014651.575961	Oral	969:241720
SRS017725.576192	Oral	969:241710
SRS011167.571043	Oral	969:241686
SRS045963.576168	Oral	969:241893
SRS020358.575254	Oral	969:241726
SRS019249.570891	Oral	969:241800
SRS013559.576546	Oral	969:241796
SRS013504.573007	Oral	969:241676
SRS017657.574334	Oral	969:241775
SRS014821.572725	Oral	969:241793
SRS018793.575801	Oral	969:241731
SRS014962.571588	Oral	969:241727
SRS018449.574980	Oral	969:241826
SRS014601.571726	Oral	969:241693
SRS014923.575333	Gastrointestinal_tract	969:241808
SRS013555.570652	Oral	969:241796
SRS044548.575505	Oral	969:241857
SRS054376.572658	Oral	969:241863
SRS043336.575627	Oral	969:241857
SRS015021.575294	Oral	969:241718
SRS020657.573193	Oral	969:241776
SRS016537.574468	Oral	969:241831
SRS014253.571260	Oral	969:241791
SRS017011.570778	Oral	969:241746
SRS053635.571246	Oral	969:241872
SRS042288.575844	Oral	969:241854
SRS016277.575594	Oral	969:241681
SRS013249.576538	Oral	969:241833
SRS018591.571033	Oral	969:241758
SRS020983.570993	Gastrointestinal_tract	969:241806
SRS016166.571670	Oral	969:241696
SRS011638.572652	Oral	969:241795
SRS022181.576612	Oral	969:241683
SRS021073.574035	Oral	969:241694
SRS011454.573907	Oral	969:241760
SRS015117.575489	Oral	969:241850
SRS044879.573265	Oral	969:241859
SRS016708.571920	Oral	969:241836
SRS016871.575119	Oral	969:241745
SRS016663.572174	Oral	969:241713
SRS018151.575663	Oral	969:241828
SRS016874.576157	Oral	969:241745
SRS017843.574692	Oral	969:241711
SRS020431.571738	Oral	969:241680
SRS013654.575379	Oral	969:241672
SRS016868.572622	Oral	969:241745
SRS018597.572113	Oral	969:241758
SRS017649.575157	Oral	969:241775
SRS014885.571435	Gastrointestinal_tract	969:241830
SRS014954.570606	Oral	969:241727
SRS052682.574873	Oral	969:257131
SRS016525.576215	Oral	969:241831
SRS020527.573698	Gastrointestinal_tract	969:241821
SRS055377.570366	Oral	969:241852
SRS013834.575206	Oral	969:241794
SRS048383.571236	Oral	969:257131
SRS011167.573019	Oral	969:241686
SRS063924.576177	Oral	969:268877
SRS016412.570898	Oral	969:241749
SRS018333.573380	Oral	969:241695
SRS017121.573466	Oral	969:241814
SRS015570.570678	Oral	969:241802
SRS044788.573044	Oral	969:241874
SRS014863.570639	Oral	969:241830
SRS042331.570938	Oral	969:241884
SRS013720.572730	Oral	969:241725
SRS013723.571314	Oral	969:241725
SRS063437.573272	Oral	969:268878
SRS015133.575616	Gastrointestinal_tract	969:241850
SRS011165.576029	Oral	969:241686
SRS019735.575585	Oral	969:241779
SRS015235.571385	Oral	969:241729
SRS045980.574936	Oral	969:241853
SRS044606.576342	Oral	969:257131
SRS044314.573955	Oral	969:241855
SRS065558.571208	Oral	969:268878
SRS015184.572299	Oral	969:241675
SRS017115.576279	Oral	969:241814
SRS018153.574067	Oral	969:241828
SRS013557.574445	Oral	969:241796
SRS051778.572253	Oral	969:241856
SRS017351.572631	Oral	969:241674
SRS011369.575090	Oral	969:241767
SRS020421.574973	Oral	969:241680
SRS014277.571786	Oral	969:241825
SRS013464.575490	Oral	969:241666
SRS011492.575589	Oral	969:241673
SRS015405.574529	Oral	969:241682
SRS011514.570818	Oral	969:241702
SRS011514.572387	Oral	969:241702
SRS011634.574023	Oral	969:241795
SRS020233.571448	Gastrointestinal_tract	969:241798
SRS018599.574824	Oral	969:241758
SRS018747.575786	Oral	969:241832
SRS015231.574902	Oral	969:241729
SRS011415.570853	Gastrointestinal_tract	969:241673
SRS015925.572764	Oral	969:241778
SRS042619.572853	Oral	969:241884
SRS011409.570636	Oral	969:241834
SRS054770.572854	Oral	969:257127
SRS017721.574099	Oral	969:241710
SRS011275.573242	Oral	969:241748
SRS011533.573177	Oral	969:241837
SRS015919.571238	Oral	969:241778
SRS017088.576058	Oral	969:241705
SRS022055.572460	Oral	969:241738
SRS018805.575518	Oral	969:241731
SRS015307.574680	Oral	969:241787
SRS056498.573585	Oral	969:241852
SRS016408.570718	Oral	969:241749
SRS016608.575706	Oral	969:241690
SRS015466.570631	Oral	969:241743
SRS019846.570854	Gastrointestinal_tract	969:241790
SRS016974.574090	Oral	969:241795
SRS014651.571263	Oral	969:241720
SRS011159.572846	Oral	969:241686
SRS020308.575703	Oral	969:241829
SRS011661.575729	Oral	969:241764
SRS011169.575230	Oral	969:241686
SRS064038.572308	Oral	969:257130
SRS011547.571079	Oral	969:241837
SRS015927.576375	Oral	969:241778
SRS017353.570867	Oral	969:241674
SRS011427.575684	Oral	969:241709
SRS044978.572198	Oral	969:241883
SRS020427.572536	Oral	969:241680
SRS015788.572137	Oral	969:241685
SRS019261.575994	Oral	969:241800
SRS013782.574991	Oral	969:241819
SRS015564.576225	Oral	969:241802
SRS015170.574021	Oral	969:241675
SRS015297.571957	Oral	969:241787
SRS062681.576290	Oral	969:257130
SRS014921.574818	Oral	969:241808
SRS015925.575946	Oral	969:241778
SRS015931.573834	Oral	969:241778
SRS015913.572208	Oral	969:241778
SRS015913.575791	Oral	969:241778
SRS014758.574336	Oral	969:241824
SRS016720.575411	Oral	969:241836
SRS050655.572376	Oral	969:241879
SRS020350.575544	Gastrointestinal_tract	969:241726
SRS013551.574025	Oral	969:241796
SRS054669.576548	Oral	969:241864
SRS011361.574827	Oral	969:241767
SRS011157.572834	Gastrointestinal_tract	969:241686
SRS047625.576245	Oral	969:241859
SRS011592.570485	Oral	969:241783
SRS011567.572075	Oral	969:241834
SRS049229.574524	Oral	969:241891
SRS011277.576438	Oral	969:241748
SRS055377.570303	Oral	969:241852
SRS043531.570592	Oral	969:241863
SRS021676.570623	Oral	969:241688
SRS018159.571532	Oral	969:241828
SRS021378.572530	Oral	969:241774
SRS050292.575126	Oral	969:257113
SRS021312.575550	Oral	969:241735
SRS022053.570608	Oral	969:241738
SRS020706.574857	Oral	969:241759
SRS014659.575591	Gastrointestinal_tract	969:241720
SRS011300.570651	Gastrointestinal_tract	969:241767
SRS011531.570600	Oral	969:241837
SRS022366.572467	Oral	969:241768
SRS020948.574031	Oral	969:241752
SRS021449.571783	Oral	969:241754
SRS056396.572402	Oral	969:241856
SRS011433.572687	Oral	969:241709
SRS015029.570327	Oral	969:241718
SRS056511.576309	Oral	969:241883
SRS014857.574438	Oral	969:241830
SRS050617.570719	Oral	969:241880
SRS013506.570645	Oral	969:241676
SRS052501.575370	Oral	969:241853
SRS011482.570713	Oral	969:241673
SRS054576.574211	Oral	969:241886
SRS063891.574229	Oral	969:268878
SRS013468.571104	Oral	969:241666
SRS015568.574928	Oral	969:241802
SRS050846.575926	Oral	969:241873
SRS053216.574154	Oral	969:241853
SRS020535.575438	Oral	969:241821
SRS015350.574064	Oral	969:241811
SRS018262.572302	Oral	969:241785
SRS016660.575938	Oral	969:241713
SRS018739.573662	Oral	969:241832
SRS015245.571086	Oral	969:241729
SRS050239.575981	Oral	969:241855
SRS019528.573118	Oral	969:241818
SRS013502.576044	Oral	969:241676
SRS015927.571237	Oral	969:241778
SRS011285.573861	Oral	969:241748
SRS047094.574420	Oral	969:241852
SRS018145.574360	Oral	969:241828
SRS013561.571660	Oral	969:241796
SRS021249.573984	Oral	969:241669
SRS021324.574101	Oral	969:241735
SRS052681.576308	Oral	969:257133
SRS011565.574404	Oral	969:241834
SRS011667.572261	Oral	969:241764
SRS055574.573652	Oral	969:241873
SRS014952.571139	Oral	969:241727
SRS052469.575939	Oral	969:241855
SRS016877.574244	Oral	969:241745
SRS045258.573112	Oral	969:241864
SRS044355.575895	Oral	969:241873
SRS011454.573338	Oral	969:241760
SRS015718.570672	Oral	969:241756
SRS016610.573712	Oral	969:241690
SRS054824.570214	Oral	969:241863
SRS056498.576617	Oral	969:241852
SRS063301.574019	Oral	969:268877
SRS018005.574573	Oral	969:241734
SRS015301.570814	Oral	969:241787
SRS020255.574514	Oral	969:241798
SRS011531.572733	Oral	969:241837
SRS016125.573616	Oral	969:241701
SRS018501.572901	Oral	969:241667
SRS055828.571595	Oral	969:257131
SRS053775.573943	Oral	969:241869
SRS050838.575500	Oral	969:241852
SRS020366.574302	Oral	969:241726
SRS044355.575025	Oral	969:241873
SRS020255.575919	Oral	969:241798
SRS020429.574349	Oral	969:241680
SRS019302.571392	Oral	969:241848
SRS016154.574552	Oral	969:241696
SRS054571.571753	Oral	969:241873
SRS011508.576195	Oral	969:241702
SRS018088.572325	Oral	969:241671
SRS056304.572810	Oral	969:241852
SRS015113.572902	Oral	969:241850
SRS042698.573231	Oral	969:241852
SRS042595.574594	Oral	969:241855
SRS011161.575030	Oral	969:241686
SRS058741.575501	Oral	969:257127
SRS042698.570287	Oral	969:241852
SRS015974.571467	Oral	969:241769
SRS019263.572911	Oral	969:241800
SRS014593.576089	Oral	969:241693
SRS018801.571328	Oral	969:241731
SRS063324.572433	Gastrointestinal_tract	969:257114
SRS021810.571723	Oral	969:241849
SRS018801.574444	Oral	969:241731
SRS013234.574132	Oral	969:241833
SRS015712.571871	Oral	969:241756
SRS020539.573820	Oral	969:241821
SRS015514.575400	Oral	969:241707
SRS018092.576232	Oral	969:241671
SRS018382.571321	Oral	969:241797
SRS015526.574187	Oral	969:241707
SRS011537.571308	Oral	969:241837
SRS021255.571888	Oral	969:241669
SRS017898.575289	Oral	969:241799
SRS013819.572141	Oral	969:241794
SRS015708.571368	Oral	969:241756
SRS014597.571112	Oral	969:241693
SRS014752.572085	Oral	969:241824
SRS044938.576540	Oral	969:241869
SRS062708.571890	Oral	969:268877
SRS013462.571371	Oral	969:241666
SRS020298.574446	Oral	969:241829
SRS016708.576210	Oral	969:241836
SRS011653.575556	Gastrointestinal_tract	969:241764
SRS016714.571980	Oral	969:241836
SRS011510.574929	Oral	969:241702
SRS064983.574771	Oral	969:257130
SRS058527.570895	Oral	969:241886
SRS018451.572625	Oral	969:241826
SRS017121.572223	Oral	969:241814
SRS023385.575390	Oral	969:241697
SRS018313.575129	Gastrointestinal_tract	969:241695
SRS011512.570884	Oral	969:241702
SRS015127.573384	Oral	969:241850
SRS017661.572896	Oral	969:241775
SRS020249.575900	Oral	969:241798
SRS054558.570604	Oral	969:241879
SRS047158.571965	Oral	969:241893
SRS011623.576291	Oral	969:241795
SRS022167.573156	Oral	969:241683
SRS046022.575542	Oral	969:241890
SRS022177.571519	Oral	969:241683
SRS044842.576555	Oral	969:241884
SRS014255.574314	Oral	969:241791
SRS023807.571184	Oral	969:241742
SRS043219.572503	Oral	969:241893
SRS019111.571026	Oral	969:241743
SRS011494.570516	Oral	969:241673
SRS014950.570917	Oral	969:241727
SRS016853.573651	Oral	969:241745
SRS011175.571936	Oral	969:241686
SRS045908.573844	Oral	969:241884
SRS021688.571919	Oral	969:241688
SRS045908.571765	Oral	969:241884
SRS016064.574516	Oral	969:241741
SRS055141.572024	Oral	969:241864
SRS013460.574437	Oral	969:241666
SRS018096.574761	Oral	969:241671
SRS020310.571897	Oral	969:241829
SRS011589.573188	Oral	969:241783
SRS017653.573355	Oral	969:241775
SRS023799.576516	Oral	969:241742
SRS044813.572412	Oral	969:241864
SRS015929.576320	Oral	969:241778
SRS015679.571261	Oral	969:241845
SRS011419.574749	Oral	969:241709
SRS014962.574625	Oral	969:241727
SRS015472.574486	Oral	969:241743
SRS022884.574755	Oral	969:241698
SRS022874.570523	Oral	969:241698
SRS055868.570723	Oral	969:241886
SRS021680.574951	Oral	969:241688
SRS020233.575311	Gastrointestinal_tract	969:241798
SRS020991.572975	Oral	969:241806
SRS021744.575257	Oral	969:241706
SRS013638.573699	Gastrointestinal_tract	969:241672
SRS051198.571210	Oral	969:241890
SRS047667.571535	Oral	969:241853
SRS064041.571234	Oral	969:268869
SRS063499.574385	Oral	969:257130
SRS015462.571524	Oral	969:241743
SRS042093.570661	Oral	969:241864
SRS017455.572226	Gastrointestinal_tract	969:241721
SRS022291.574760	Gastrointestinal_tract	969:241841
SRS055348.574039	Oral	969:241875
SRS011541.571601	Oral	969:241837
SRS042504.574041	Oral	969:241874
SRS051359.572968	Oral	969:241893
SRS020433.576594	Oral	969:241680
SRS051224.576001	Oral	969:241874
SRS062618.574788	Oral	969:268876
SRS011510.573590	Oral	969:241702
SRS056751.572613	Oral	969:241886
SRS021131.575798	Oral	969:241801
SRS017655.573116	Oral	969:241775
SRS016654.576196	Oral	969:241713
SRS016337.573078	Oral	969:241839
SRS017659.575287	Oral	969:241775
SRS017280.571593	Oral	969:241724
SRS014954.572933	Oral	969:241727
SRS011273.575418	Oral	969:241748
SRS020946.572597	Oral	969:241752
SRS018386.575460	Oral	969:241797
SRS017649.573089	Oral	969:241775
SRS022378.575067	Oral	969:241768
SRS011415.570700	Gastrointestinal_tract	969:241673
SRS013660.574391	Oral	969:241672
SRS023373.573428	Oral	969:241697
SRS058695.574968	Oral	969:241859
SRS015560.573030	Oral	969:241802
SRS016273.570879	Oral	969:241681
SRS021085.575964	Oral	969:241694
SRS021812.571905	Oral	969:241849
SRS050055.571322	Oral	969:241875
SRS020881.574433	Oral	969:241679
SRS023813.571312	Oral	969:241742
SRS018445.571354	Oral	969:241826
SRS011506.573339	Oral	969:241702
SRS017821.573378	Gastrointestinal_tract	969:241711
SRS013563.573535	Oral	969:241796
SRS018441.572372	Oral	969:241826
SRS011667.571454	Oral	969:241764
SRS011427.571282	Oral	969:241709
SRS014659.570377	Gastrointestinal_tract	969:241720
SRS045314.571947	Oral	969:241853
SRS013243.575920	Oral	969:241833
SRS022249.573803	Oral	969:241786
SRS022685.571058	Oral	969:241689
SRS022305.575586	Oral	969:241841
SRS022299.571355	Oral	969:241841
SRS022866.573766	Oral	969:241698
SRS021380.576086	Oral	969:241774
SRS022307.574846	Oral	969:241841
SRS022179.571494	Oral	969:241683
SRS021261.576444	Oral	969:241669
SRS022880.575880	Oral	969:241698
SRS021798.576190	Oral	969:241849
SRS023803.571442	Oral	969:241742
SRS021257.575071	Oral	969:241669
SRS021672.570919	Oral	969:241688
SRS022233.574488	Oral	969:241786
SRS021263.570496	Oral	969:241669
SRS021690.571459	Oral	969:241688
SRS020714.571762	Oral	969:241759
SRS021806.574506	Oral	969:241849
SRS022876.570344	Oral	969:241698
SRS022173.571640	Oral	969:241683
SRS020889.574328	Oral	969:241679
SRS022313.574415	Oral	969:241841
SRS022374.576284	Oral	969:241768
SRS017784.571193	Oral	969:241782
SRS011271.575925	Gastrointestinal_tract	969:241748
SRS017663.575350	Oral	969:241775
SRS048396.575799	Oral	969:241880
SRS016722.570769	Oral	969:241836
SRS016859.574658	Oral	969:241745
SRS017829.572399	Oral	969:241711
SRS014315.572168	Oral	969:241844
SRS017212.576461	Oral	969:241838
SRS018392.574182	Oral	969:241797
SRS020006.572671	Oral	969:241847
SRS018155.575365	Oral	969:241828
SRS013498.570774	Oral	969:241676
SRS016648.570441	Oral	969:241713
SRS013770.571831	Oral	969:241819
SRS016651.570655	Oral	969:241713
SRS011598.573532	Oral	969:241783
SRS013664.572303	Oral	969:241672
SRS018378.574402	Oral	969:241797
SRS013778.576468	Oral	969:241819
SRS056028.573327	Oral	969:241854
SRS011594.571381	Oral	969:241783
SRS014570.575178	Oral	969:241730
SRS048749.575972	Oral	969:241879
SRS013658.572826	Oral	969:241672
SRS013498.575101	Oral	969:241676
SRS063449.573311	Oral	969:268865
SRS055643.576379	Oral	969:241854
SRS017780.571576	Oral	969:241782
SRS017086.570817	Oral	969:241705
SRS011300.575427	Gastrointestinal_tract	969:241767
SRS017115.574357	Oral	969:241814
SRS014811.575457	Oral	969:241793
SRS013831.576527	Oral	969:241794
SRS017653.574835	Oral	969:241775
SRS018435.571724	Oral	969:241826
SRS013506.576303	Oral	969:241676
SRS011592.575435	Oral	969:241783
SRS051071.572798	Oral	969:241857
SRS013512.571145	Oral	969:241676
SRS011594.571637	Oral	969:241783
SRS062575.576133	Oral	969:268877
SRS018443.571562	Oral	969:241826
SRS014430.571212	Oral	969:241812
SRS015464.572728	Oral	969:241743
SRS015464.571292	Oral	969:241743
SRS013504.571250	Oral	969:241676
SRS011600.576497	Oral	969:241783
SRS018390.574343	Oral	969:241797
SRS018013.575087	Oral	969:241734
SRS018601.573765	Oral	969:241758
SRS064959.575081	Oral	969:268865
SRS017839.574247	Oral	969:241711
SRS048669.572041	Oral	969:241874
SRS017661.574086	Oral	969:241775
SRS013776.572463	Oral	969:241819
SRS057795.571402	Oral	969:241869
SRS015556.570291	Oral	969:241802
SRS020995.573872	Oral	969:241806
SRS018441.574722	Oral	969:241826
SRS018451.574474	Oral	969:241826
SRS022041.576011	Oral	969:241738
SRS051886.572430	Oral	969:241886
SRS063935.570310	Oral	969:257130
SRS048671.576496	Oral	969:241886
SRS016765.571498	Oral	969:241715
SRS053925.571553	Oral	969:241853
SRS014956.574720	Oral	969:241727
SRS053216.576268	Oral	969:241853
SRS017659.570271	Oral	969:241775
SRS017886.573743	Oral	969:241799
SRS011537.574097	Oral	969:241837
SRS054608.570991	Gastrointestinal_tract	969:241893
SRS052973.570863	Oral	969:241859
SRS016269.574333	Oral	969:241681
SRS020010.572986	Oral	969:241847
SRS014432.574106	Oral	969:241812
SRS014655.570437	Oral	969:241720
SRS014271.575150	Oral	969:241825
SRS020535.575752	Oral	969:241821
SRS014568.575260	Oral	969:241730
SRS014564.570497	Oral	969:241730
SRS017841.573975	Oral	969:241711
SRS014817.576027	Oral	969:241793
SRS016168.573362	Oral	969:241696
SRS017835.573079	Oral	969:241711
SRS063494.572889	Oral	969:268865
SRS018439.574283	Oral	969:241826
SRS049882.573530	Oral	969:241878
SRS011484.573684	Oral	969:241673
SRS015454.571639	Oral	969:241743
SRS044842.570819	Oral	969:241884
SRS020372.570217	Oral	969:241726
SRS011516.573546	Oral	969:241702
SRS015358.570878	Oral	969:241811
SRS021447.573409	Oral	969:241754
SRS057146.571622	Oral	969:257123
SRS020596.574323	Oral	969:241740
SRS042483.576037	Oral	969:257133
SRS021089.574085	Oral	969:241694
SRS021117.575750	Oral	969:241801
SRS021265.573644	Oral	969:241669
SRS022362.572106	Oral	969:241768
SRS065293.572664	Oral	969:268878
SRS014750.572577	Oral	969:241824
SRS011456.574679	Oral	969:241760
SRS018325.573321	Oral	969:241695
SRS014663.572206	Oral	969:241720
SRS020312.574911	Oral	969:241829
SRS022057.572564	Oral	969:241738
SRS020942.576531	Oral	969:241752
SRS020598.570522	Oral	969:241740
SRS016170.572524	Oral	969:241696
SRS014426.574632	Oral	969:241812
SRS053570.570783	Oral	969:241859
SRS015704.572381	Oral	969:241756
SRS015980.575310	Oral	969:241769
SRS063252.572959	Oral	969:268876
SRS011470.571192	Oral	969:241760
SRS014807.576613	Oral	969:241793
SRS020002.571992	Oral	969:241847
SRS011659.570722	Oral	969:241764
SRS016537.573444	Oral	969:241831
SRS050493.572276	Oral	969:241874
SRS018803.574381	Oral	969:241731
SRS050936.572700	Oral	969:241878
SRS042359.571730	Oral	969:241857
SRS054571.573769	Oral	969:241873
SRS014605.570615	Oral	969:241693
SRS017778.571875	Oral	969:241782
SRS016358.571959	Oral	969:241839
SRS011657.572585	Oral	969:241764
SRS064707.573364	Oral	969:268878
SRS052430.571140	Oral	969:241883
SRS015966.575347	Oral	969:241769
SRS011171.572336	Oral	969:241686
SRS011535.574831	Oral	969:241837
SRS014956.575209	Oral	969:241727
SRS013822.575338	Oral	969:241794
SRS014661.570503	Oral	969:241720
SRS016606.576073	Oral	969:241690
SRS015766.571590	Oral	969:241685
SRS014279.570849	Oral	969:241825
SRS015031.573729	Oral	969:241718
SRS020253.572057	Oral	969:241798
SRS020478.576541	Oral	969:241733
SRS015366.570858	Oral	969:241811
SRS016225.576071	Oral	969:241687
SRS011588.576568	Oral	969:241783
SRS055868.574175	Oral	969:241886
SRS053278.575420	Oral	969:241878
SRS018021.573748	Oral	969:241734
