#SampleID	Var	ControlVar
SRS047607.570634	Tongue_dorsum	969:241854
SRS016712.570618	Tongue_dorsum	969:241836
SRS011409.576237	Tongue_dorsum	969:241834
SRS011506.574471	Tongue_dorsum	969:241702
SRS015174.572189	Tongue_dorsum	969:241675
SRS022171.575220	Tongue_dorsum	969:241683
SRS054065.574892	Tongue_dorsum	969:241857
SRS042643.572446	Tongue_dorsum	969:241886
SRS052245.576072	Tongue_dorsum	969:241863
SRS014651.575961	Tongue_dorsum	969:241720
SRS013555.570652	Tongue_dorsum	969:241796
SRS015021.575294	Tongue_dorsum	969:241718
SRS018591.571033	Tongue_dorsum	969:241758
SRS015117.575489	Tongue_dorsum	969:241850
SRS044879.573265	Tongue_dorsum	969:241859
SRS016412.570898	Tongue_dorsum	969:241749
SRS017121.573466	Tongue_dorsum	969:241814
SRS065558.571208	Tongue_dorsum	969:268878
SRS015231.574902	Tongue_dorsum	969:241729
SRS011409.570636	Tongue_dorsum	969:241834
SRS011275.573242	Tongue_dorsum	969:241748
SRS011533.573177	Tongue_dorsum	969:241837
SRS014651.571263	Tongue_dorsum	969:241720
SRS015297.571957	Tongue_dorsum	969:241787
SRS021676.570623	Tongue_dorsum	969:241688
SRS022366.572467	Tongue_dorsum	969:241768
SRS018262.572302	Tongue_dorsum	969:241785
SRS018739.573662	Tongue_dorsum	969:241832
SRS013502.576044	Tongue_dorsum	969:241676
SRS018145.574360	Tongue_dorsum	969:241828
SRS055574.573652	Tongue_dorsum	969:241873
SRS014952.571139	Tongue_dorsum	969:241727
SRS045258.573112	Tongue_dorsum	969:241864
SRS018501.572901	Tongue_dorsum	969:241667
SRS053775.573943	Tongue_dorsum	969:241869
SRS016154.574552	Tongue_dorsum	969:241696
SRS018088.572325	Tongue_dorsum	969:241671
SRS042698.573231	Tongue_dorsum	969:241852
SRS011161.575030	Tongue_dorsum	969:241686
SRS042698.570287	Tongue_dorsum	969:241852
SRS014593.576089	Tongue_dorsum	969:241693
SRS013234.574132	Tongue_dorsum	969:241833
SRS020539.573820	Tongue_dorsum	969:241821
SRS015514.575400	Tongue_dorsum	969:241707
SRS018382.571321	Tongue_dorsum	969:241797
SRS013819.572141	Tongue_dorsum	969:241794
SRS015708.571368	Tongue_dorsum	969:241756
SRS017121.572223	Tongue_dorsum	969:241814
SRS046022.575542	Tongue_dorsum	969:241890
SRS019111.571026	Tongue_dorsum	969:241743
SRS013460.574437	Tongue_dorsum	969:241666
SRS011589.573188	Tongue_dorsum	969:241783
SRS017653.573355	Tongue_dorsum	969:241775
SRS011419.574749	Tongue_dorsum	969:241709
SRS015560.573030	Tongue_dorsum	969:241802
SRS020881.574433	Tongue_dorsum	969:241679
SRS011506.573339	Tongue_dorsum	969:241702
SRS023803.571442	Tongue_dorsum	969:241742
SRS016859.574658	Tongue_dorsum	969:241745
SRS016648.570441	Tongue_dorsum	969:241713
SRS017653.574835	Tongue_dorsum	969:241775
SRS062575.576133	Tongue_dorsum	969:268877
SRS020995.573872	Tongue_dorsum	969:241806
SRS016765.571498	Tongue_dorsum	969:241715
SRS016269.574333	Tongue_dorsum	969:241681
SRS014271.575150	Tongue_dorsum	969:241825
SRS018439.574283	Tongue_dorsum	969:241826
SRS011484.573684	Tongue_dorsum	969:241673
SRS020596.574323	Tongue_dorsum	969:241740
SRS011456.574679	Tongue_dorsum	969:241760
SRS018325.573321	Tongue_dorsum	969:241695
SRS014426.574632	Tongue_dorsum	969:241812
SRS014807.576613	Tongue_dorsum	969:241793
SRS020002.571992	Tongue_dorsum	969:241847
SRS050936.572700	Tongue_dorsum	969:241878
SRS011657.572585	Tongue_dorsum	969:241764
SRS015966.575347	Tongue_dorsum	969:241769
SRS016225.576071	Tongue_dorsum	969:241687
SRS013819.575758	Tongue_dorsum	969:241794
SRS014271.573756	Tongue_dorsum	969:241825
SRS017713.573132	Tongue_dorsum	969:241710
SRS016455.570417	Tongue_dorsum	969:241846
SRS017833.570261	Tongue_dorsum	969:241711
SRS018009.574801	Tongue_dorsum	969:241734
SRS019111.574286	Tongue_dorsum	969:241743
SRS015621.575367	Tongue_dorsum	969:241784
SRS014128.573467	Tongue_dorsum	969:241844
SRS042533.574284	Tongue_dorsum	969:257127
SRS014907.575710	Tongue_dorsum	969:241808
SRS017406.573641	Tongue_dorsum	969:241703
SRS018202.570737	Tongue_dorsum	969:241765
SRS013460.571482	Tongue_dorsum	969:241666
SRS016343.572924	Tongue_dorsum	969:241839
SRS017076.573631	Tongue_dorsum	969:241705
SRS017209.573818	Tongue_dorsum	969:241838
SRS017278.575724	Tongue_dorsum	969:241724
SRS020710.574195	Tongue_dorsum	969:241759
SRS042606.574212	Tongue_dorsum	969:257133
SRS017008.570236	Tongue_dorsum	969:241746
SRS016117.574667	Tongue_dorsum	969:241701
SRS020362.571505	Tongue_dorsum	969:241726
SRS016596.570626	Tongue_dorsum	969:241690
SRS011275.570357	Tongue_dorsum	969:241748
SRS015917.575485	Tongue_dorsum	969:241778
SRS022870.570343	Tongue_dorsum	969:241698
SRS021376.571403	Tongue_dorsum	969:241774
SRS021253.576343	Tongue_dorsum	969:241669
SRS021802.575672	Tongue_dorsum	969:241849
SRS015762.574848	Tongue_dorsum	969:241685
SRS054440.573155	Tongue_dorsum	969:241872
SRS023377.570808	Tongue_dorsum	969:241697
SRS017890.571149	Tongue_dorsum	969:241799
SRS018791.572397	Tongue_dorsum	969:241731
SRS020245.571903	Tongue_dorsum	969:241798
SRS018791.571847	Tongue_dorsum	969:241731
SRS014861.575659	Tongue_dorsum	969:241830
SRS016002.572941	Tongue_dorsum	969:241708
SRS018439.574489	Tongue_dorsum	969:241826
SRS016529.574547	Tongue_dorsum	969:241831
SRS020245.571429	Tongue_dorsum	969:241798
SRS011484.573286	Tongue_dorsum	969:241673
SRS020302.574375	Tongue_dorsum	969:241829
SRS043591.570353	Tongue_dorsum	969:241875
SRS014138.571632	Tongue_dorsum	969:241736
SRS011657.575693	Tongue_dorsum	969:241764
SRS011419.570827	Tongue_dorsum	969:241709
SRS021121.576388	Tongue_dorsum	969:241801
SRS020002.572093	Tongue_dorsum	969:241847
SRS017467.573489	Tongue_dorsum	969:241721
SRS021187.572120	Tongue_dorsum	969:241842
SRS013705.571069	Tongue_dorsum	969:241725
SRS056891.575117	Tongue_dorsum	969:257122
SRS017776.575976	Tongue_dorsum	969:241782
SRS019247.572766	Tongue_dorsum	969:241800
SRS020425.570360	Tongue_dorsum	969:241680
SRS016319.574268	Tongue_dorsum	969:241813
SRS015395.571275	Tongue_dorsum	969:241682
SRS049389.575958	Tongue_dorsum	969:241884
SRS016928.574050	Tongue_dorsum	969:241792
SRS015669.574144	Tongue_dorsum	969:241845
SRS015917.572958	Tongue_dorsum	969:241778
SRS064540.574255	Tongue_dorsum	969:268869
SRS015354.571119	Tongue_dorsum	969:241811
SRS043642.571428	Tongue_dorsum	969:241893
SRS020302.570373	Tongue_dorsum	969:241829
SRS063549.571613	Tongue_dorsum	969:268876
SRS021439.575188	Tongue_dorsum	969:241754
SRS011161.572681	Tongue_dorsum	969:241686
SRS011456.573478	Tongue_dorsum	969:241760
SRS016859.575045	Tongue_dorsum	969:241745
SRS045007.573492	Tongue_dorsum	969:241879
SRS017406.576443	Tongue_dorsum	969:241703
SRS011533.572121	Tongue_dorsum	969:241837
SRS024694.574596	Tongue_dorsum	969:241753
SRS020484.570285	Tongue_dorsum	969:241733
SRS044038.572290	Tongue_dorsum	969:257113
SRS013189.570565	Tongue_dorsum	969:241704
SRS013502.574778	Tongue_dorsum	969:241676
SRS014138.572637	Tongue_dorsum	969:241736
SRS051657.571954	Tongue_dorsum	969:241891
SRS014560.574910	Tongue_dorsum	969:241730
SRS049389.575772	Tongue_dorsum	969:241884
SRS021077.576052	Tongue_dorsum	969:241694
SRS020539.571785	Tongue_dorsum	969:241821
SRS055574.570370	Tongue_dorsum	969:241873
SRS016529.572228	Tongue_dorsum	969:241831
SRS014426.575548	Tongue_dorsum	969:241812
SRS020653.572358	Tongue_dorsum	969:241776
SRS022303.572354	Tongue_dorsum	969:241841
SRS013650.574432	Tongue_dorsum	969:241672
SRS011589.575334	Tongue_dorsum	969:241783
SRS011624.570298	Tongue_dorsum	969:241795
SRS011624.572147	Tongue_dorsum	969:241795
SRS020938.570540	Tongue_dorsum	969:241752
SRS013774.576519	Tongue_dorsum	969:241819
SRS022558.575557	Tongue_dorsum	969:241817
SRS016060.573600	Tongue_dorsum	969:241741
SRS021736.574188	Tongue_dorsum	969:241706
SRS023683.570766	Tongue_dorsum	969:241751
SRS022237.575094	Tongue_dorsum	969:241786
SRS023254.573559	Tongue_dorsum	969:241770
SRS022045.571339	Tongue_dorsum	969:241738
SRS065507.575945	Tongue_dorsum	969:268865
SRS021316.574084	Tongue_dorsum	969:241735
SRS022810.573727	Tongue_dorsum	969:241816
SRS020767.575668	Tongue_dorsum	969:241780
SRS021865.572612	Tongue_dorsum	969:241744
SRS020823.571171	Tongue_dorsum	969:241677
SRS018088.576347	Tongue_dorsum	969:241671
SRS057759.574185	Tongue_dorsum	969:257123
