#SampleID	SEX
USygt31.T1.418408	female
USchp33Mom.418698	female
USygt50.F.418499	male
TS194.418607	female
USygt15.T2.418859	male
TS109.418691	female
USygt48.F.418551	male
USygt28.T2.418449	male
TS7.418860	female
USygt44.M.418360	female
USygt9.T2.418652	male
USygt16.B1.418368	male
USygt23.T1.418854	male
USygt25.B1.418792	male
USygt17.T1.418600	male
USygt30.T2.418609	female
TS14.418541	female
USygt22.F.418477	male
USygt6.M.418593	female
USygt40.T2.418474	female
USygt13.M.418644	female
USygt10.T2.418815	male
USygt50.T1.418743	female
USygt9.M.418560	female
USygt21.T1.418559	male
USygt26.M.418352	female
USygt28.M.418808	female
USygt11.M.418479	female
USygt51.T1.418476	female
USygt37.T1.418580	female
USygt47.M.418401	female
TS193.418750	female
USygt30.F.418729	male
USygt31.T2.418361	female
USchp25Mom.418780	female
USygt5.M.418357	female
USygt25.T1.418406	male
F3T1pre4.418699	female
USygt22.T1.418770	male
USygt2.M.418457	female
USygt34.T1.418567	female
USygt19.T2.418432	male
USchp60Mom.418566	female
USygt8.M.418616	female
USygt24.T2.418363	female
USygt44.T2.418648	male
USygt25.T2.418341	male
USygt3.T2.418807	female
USygt26.T1.418758	female
TS1.418828	female
USygt27.T1.418441	male
USygt13.T2.418745	male
USygt6.AS.418353	female
USygt38.F.418465	male
USygt7.T2.418392	male
USygt46.T1.418865	female
USygt54.T1.418381	female
USygt54.F.418487	male
USygt51.T2.418469	male
USygt36.M.418734	female
USygt37.F.418676	male
USygt34.F.418402	male
USygt20.F.418339	male
USygt19.T1.418385	male
USygt24.M.418730	female
USygt12.T2.418790	male
USygt14.T1.418853	female
USygt46.T2.418679	male
USygt25.S1.418338	female
USygt53.M.418452	female
USygt44.B1.418371	male
USygt13.T1.418495	male
USygt8.T1.418829	male
USygt33.T2.418787	male
USygt20.M.418572	female
USygt49.F.418818	male
TS26.418393	female
USygt14.T2.418813	male
USygt3.M.418496	female
USygt16.M.418462	female
USygt28.T1.418827	female
USygt47.T1.418692	female
TS185.418675	female
USygt54.M.418445	female
USygt9.B1.418824	male
USygt27.F.418639	male
TS2.418517	female
USygt20.T2.418500	male
USygt17.M.418444	female
USygt40.F.418369	male
USygt14.F.418375	male
USygt24.T1.418841	female
USygt42.T1.418811	male
USygt13.F.418411	male
USchp11Child.418850	male
USygt51.F.418349	male
USygt45.T2.418535	male
USygt30.M.418398	female
USygt1.M.418373	female
USygt45.T1.418763	male
USygt23.T2.418458	male
USygt21.F.418579	male
USygt36.T2.418655	female
USygt23.M.418612	female
USygt1.F.418592	male
USygt21.T2.418484	male
USygt49.T2.418670	female
USygt34.M.418823	female
USygt29.T2.418768	female
TS128.418470	female
USygt22.M.418388	female
USygt1.T2.418785	female
USygt4.M.418367	female
USygt5.T1.418573	male
USygt39.F.418756	male
USygt20.T1.418564	male
USygt38.M.418740	female
USygt12.M.418543	female
USygt52.T1.418819	female
USygt9.F.418438	male
USygt52.T2.418721	female
TS163.418636	female
USygt48.M.418794	female
USygt12.F.418502	male
USygt29.T1.418673	female
TS5.418546	female
USygt4.T2.418732	male
USchp33ChildA.418742	female
USygt40.M.418504	female
USygt4.T1.418764	male
USygt42.M.418663	female
USygt4.F.418451	male
USygt17.T2.418720	male
USygt23.F.418490	male
USygt1.T1.418417	female
USchp1Child.418697	female
USygt38.T2.418456	male
USygt32.T2.418437	male
USygt42.T2.418716	male
USygt32.S1.418608	female
USBldAdlt6.418795	female
USygt41.B1.418570	male
USygt45.M.418662	female
USygt35.T2.418689	male
USygt35.M.418364	female
USygt44.F.418709	male
USygt49.M.418347	female
USygt47.T2.418762	female
USygt34.T2.418744	male
USygt36.T1.418651	female
USygt50.T2.418852	female
USygt39.M.418483	female
USygt25.M.418835	female
USygt41.M.418492	female
USygt3.T1.418429	female
USygt50.M.418681	female
USBldChld2.418414	female
USchp35Mom.418515	female
USygt18.T2.418629	male
F4T1pre4.418431	female
USygt45.F.418753	male
USygt15.T1.418779	female
USygt33.T1.418574	female
USchp33ChildB.418578	female
USygt7.M.418598	female
USygt26.T2.418693	male
