#OTU ID	EM086.441698	EM082.441607	EM068.441712	EM065.441667	EM059.T3.441604	EMC08.441752	EM079.441724	EM040.441709	EM044.441601	EM124.441697	EM094.T3.441588	EM062.441720	EM134.441735	EM090.T3.441662	EM039.441743	EM106.441745	EM150.441648	EM083.T3.441744	EM071.441747	EMC04.441704	EM095.T3.441590	EM034.441676	EM064.441592	EM091.441686	EM057.441605	EM145.441690	EM063.441621	EM109.441669	EM032.441683	EM061.441673	EM047.T3.441645	EM059.441715	EM056.441606	EM078.441658	EMC01.441661	EM090.441664	EM088.441638	EM070.441682	EM077.441646	EM133.441663	EM055.441603	EM156.441613	EM108.441694	EM049.441600	EM072.T3.441632	EM130.441701	EM165.441597	EM049.T3.441671	EM031.441732	EM168.441668	EM167.441702	EMC07.441636	EM146.441718	EM081.441618	EM093.441602	EM122.441699	EM152.441730	EM140.441608	EM063.T3.441695	EM052.441625	EM047.441722	EM101.441623	EM076.441622	EM102.441633	EM141.441684	EM086.T3.441746	EM054.T3.441749	EMC06.441610	EM137.441680	EM118.441693	EM056.T3.441716	EM100.441714	EMC09.441635	EM093.T3.441670	EM174.441652	EM155.441678	EM074.441596	EM103.441691	EM043.441739	EM138.441753	EM066.T3.441647	EM151.441595	EM178.441705	EM169.441653	EM144.441736	EM147.441617	EM073.T3.441721	EM036.441587	EM050.441672	EM111.441634	EM042.441674	EM136.441650	EM080.441727	EM100.T3.441627	EM110.441723	EM084.441599	EM055.T3.441626	EM065.T3.441614	EM054.441707	EM098.441733	EM159.441719	EM125.441659	EM163.441642	EM162.441728	EM089.T3.441624	EM038.441649	EM075.441644	EM179.441612	EM182.441681	EM071.T3.441734	EM066.441656	EM067.441615	EM126.441679	EM060.T3.441729	EM094.441640	EM046.441741	EM092.441616	EM173.441754	EM057.T3.441589	EM112.441630	EM113.441619	EM131.441591	EM058.441637	EM072.441643	EM077.T3.441639	EM129.441689	EM114.441710	EM089.441742	EM033.441685	EM096.441706	EM148.441631	EM222.441725	EM142.441711	EM116.441657	EM117.441609	EM149.441655	EM132.441696	EM160.441703	EMC03.441713	EM053.441738	EM098.T3.441740	EM115.441641	EM158.441731	EM166.441748	EM170.441651	EM209.441665	EMC02.441750	EM087.441726	EM107.441620	EMC05.441628	EM053.T3.441688	EM105.441629	EM085.441675	EM073.441594	EM180.441692	EM099.441708	EM069.441700	EM123.441687	EM139.441611	EM082.T3.441751	EM183.441654	EM083.441666	EM035.441593	EM037.441737	EM095.441717	EM135.441660	EM060.441677
NR_024926.1_Eubacterium_aggregans_strain_SR12_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	13	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	9	111	0	0	0	0	0	0	0	0	0
NR_024829.1_{Clostridium}_straminisolvens_strain_CSK1_16S_ribosomal_RNA_gene__partial_sequence	0	0	7	3	6	10	0	0	15	0	1	0	0	0	4	4	33	0	5	0	9	0	0	3	0	10	3	44	2	0	0	6	2	0	3	0	0	91	13	6	6	2	10	0	80	0	22	0	73	0	0	22	0	1	13	0	4	5	0	0	0	17	13	13	0	1	15	0	0	18	3	32	1	13	9	1	0	0	0	2	6	3	24	5	0	0	0	22	5	1	31	10	97	23	2	13	7	2	11	25	66	0	154	3	14	0	0	0	0	27	0	7	7	9	2	0	0	1	0	0	0	12	1	66	3	2	18	2	6	0	11	4	0	0	0	1	0	0	12	0	13	0	3	20	37	0	3	5	0	16	0	3	0	0	2	12	10	47	17	0	9	0	5	0	2	1	0
NR_024813.1_Lactobacillus_kitasatonis_strain_JCM_1039_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024906.1_Enterococcus_mundtii_strain_ATCC_43186_16S_ribosomal_RNA_gene__partial_sequence	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	13	3	0	0	0	0	0	0	3	0	0	0	0	0	84	33	0	0	0	0	0	0	1	41	0	6	0	1	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0
NR_024899.1_Mannheimia_granulomatis_strain_ATCC_49244_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024993.1_{Clostridium}_fimetarium_strain_Z-2189_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	3	13	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	1	0	0	1	0	0	0	0	6	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
NR_024967.1_Sporobacterium_olearium_strain_SR1_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024994.1_Lactobacillus_mucosae_strain_S32_16S_ribosomal_RNA_gene__complete_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_025651.1_{Clostridium}_lactatifermentans_strain_G17_16S_ribosomal_RNA_gene__partial_sequence	2	1	14	2	0	3	0	1	19	1	5	3	6	0	5	0	37	7	10	58	2	10	45	1	2	5	0	1	18	102	233	4	0	2	1	0	9	18	0	0	8	3	37	13	6	0	9	55	1	3	18	2	0	96	22	0	10	86	1	1	10	0	26	2	3	0	43	8	27	1	0	6	38	10	4	24	2	7	2	4	3	1	2	1	66	0	32	4	21	14	33	0	0	1	1	55	10	1	12	1	0	0	4	23	5	0	2	1	1	1	4	0	3	2	0	1	1	1	1	0	12	1	39	19	0	6	0	2	3	37	0	4	9	12	10	0	58	3	1	16	1	2	1	3	3	1	19	0	6	15	4	23	11	18	0	0	0	2	0	1	2	1	5	11	0	0	1
NR_025567.1_{Clostridium}_bolteae_strain_16351_16S_ribosomal_RNA_gene__partial_sequence	0	5	10	0	6	2	2	0	1	3	0	0	1	1	0	0	8	3	0	2	0	1	0	0	1	33	4	8	0	5	4	3	1	0	0	1	1	2	1	7	0	1	1	3	0	0	15	1	2	1	6	1	0	1	0	165	9	1	3	0	3	0	2	4	5	0	0	0	2	2	0	0	1	0	84	25	4	1	13	1	0	2	33	3	3	24	1	1	8	0	0	0	0	0	0	1	0	0	0	186	1	0	22	7	0	6	1	10	17	1	0	0	16	0	0	0	0	8	0	40	0	2	0	0	1	0	3	0	26	3	0	1	6	28	1	1	59	10	0	8	442	0	1	5	60	19	2	0	0	1	0	1	0	4	0	0	7	174	7	7	11	2	7	0	0	2	1
NR_025390.1_Parasporobacterium_paucivorans_strain_SYR1_16S_ribosomal_RNA_gene__partial_sequence	13	0	1	84	4	2	1	22	221	13	1	63	62	0	63	40	13	0	66	20	212	27	34	28	64	74	1	96	14	51	0	119	50	3	49	0	161	15	13	20	57	6	40	26	22	6	4	24	388	6	0	1	103	62	48	27	7	3	30	42	0	3	53	61	12	9	18	9	0	10	55	14	183	7	35	1	0	0	5	23	66	22	12	0	10	0	55	0	2	2	182	8	32	26	80	20	96	53	36	15	3	145	26	52	230	2	8	0	0	3	106	94	141	4	2	131	52	3	163	0	19	11	62	2	3	28	16	24	6	84	270	7	0	32	2	7	0	21	8	0	64	0	6	23	0	0	48	7	4	0	0	1	8	350	20	47	2	54	14	0	6	0	20	0	2	0	25
NR_025206.1_Hespellia_porcina_strain_PC80_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	5	0	4	6	1	14	8	3	5	0	2	18	1	4	3	1	0	1	3	15	7	3	7	3	1	5	0	0	2	1	0	5	0	5	4	1	4	5	0	1	0	50	4	2	3	13	3	0	0	1	16	12	0	0	2	7	3	0	0	0	7	0	0	9	2	0	1	2	1	9	4	0	0	15	1	2	1	2	0	0	2	4	0	10	3	0	0	3	1	2	8	0	4	1	3	4	1	1	0	2	2	2	0	4	5	0	0	0	0	0	3	0	5	0	0	1	0	1	0	15	590	6	0	0	1	4	1	0	2	0	1	0	2	0	5	3	0	0	0	1	0	2	0	3	2	1	7	0	3	0	7	0	8	0	0	0	2	0	3	5	0	0	0	3
NR_025297.1_Anaerosinus_glycerini_strain_DSM_5192_16S_ribosomal_RNA_gene__partial_sequence	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	3	0	0	0	0	0
NR_025230.1_Megasphaera_micronuciformis_strain_AIP_412.00_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_025377.1_Campylobacter_hominis_strain_CH001A_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_025423.1_Haemophilus_pittmaniae_strain_HK85_16S_ribosomal_RNA_gene__partial_sequence	4	0	0	0	0	0	0	1	18	0	0	5	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
NR_025524.1_Pseudobutyrivibrio_xylanivorans_strain_Mz_5_16S_ribosomal_RNA_gene__partial_sequence	1	0	0	0	0	0	0	0	3	0	2	0	0	0	0	1	0	0	27	0	7	0	2	0	6	0	18	16	0	0	0	1	0	0	0	0	0	0	0	6	9	0	5	0	0	0	0	0	0	0	0	1	3	0	9	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	18	0	1	0	2	0	0	0	0	9	0	2	0	0	0	3	0	0	0	0	0	0	13	1	0	1	0	2	1	0	10	0	0	0	14	0	0	0	0	1	0	0	0	0	1	1	0	2	0	0	0	5	0	0	0	0	0	0	0	1	1	0	1	0	3	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	2
NR_025498.1_Sedimentibacter_saalensis_strain_ZF2_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_025642.1_Weissella_soli_strain_Mi268_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	4	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	30	5	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
