#OTU ID	82S3MNBY.518050	C0241.T.518067	OTGGZN5Y.518063	OTGGZAZO.518108	C0240.N.518020	QFHRSNIH.518116	C0195.N.518110	5TA9VAT9.518088	5TA9VN6K.518161	C0374.N.518099	C0241.N.518043	UZ65XN27.518028	C0195.T.517986	82S3MAZ4.518145	59S9WAIH.518013	C0252.N.518016	C0275.T.518032	C0378.N.518158	C10.S.517995	C0371.N.518009	C0398.N.518152	C0344.N.518103	C0285.N.518084	C0294.N.517987	C0395.T.518075	GQ6LSNI6.518106	C0325.T.518083	C0315.N.518021	C0270.T.518163	C0366.N.518094	C0258.T.517997	C0349.N.517989	6G2KBNS6.518045	C0134.N.518072	JIDZEAPD.518149	C0399.N.518011	C0395.N.518054	LRQ9WN6C.518048	C0154.N.518002	C0349.T.518111	C0206.N.518065	C0355.T.518157	R8J9ZAGC.518059	TV28INUO.518004	C0225.N.518047	59S9WNC6.518055	C4.S.518169	UEL2GN92.518058	6G2KBASQ.517999	C0311.T.518131	G2OD5N55.518146	C0341.N.518101	C0394.N.518031	5EKFOAO4.518164	UEL2GAPI.518173	C0306.T.518122	KIXFRARY.518160	UZ65XAS5.518119	R8J9ZNOW.518040	C0371.T.518139	C0399.T.518153	C0285.T.518044	C0282.N.518138	C0335.N.518107	C0271.N.518022	C0269.N.518130	C0374.T.518127	C4.T.518118	C0268.N.518089	C0258.N.518014	C0230.N.517992	C0366.T.518172	KIXFRNL2.518129	C0322.N.518165	C0388.N.518136	C0230.T.518144	C0134.T.517988	C0186.N.518143	XZ33PA3O.518135	C0225.T.518033	5EKFONB3.518125	C0159.N.518042	HZIMMNL5.518062	C0362.N.518069	C0095.N.518123	MQETMNL4.518037	C0211.T.518096	GQ6LSABJ.518010	C0344.T.518029	C0341.T.518113	HZIMMAM6.518095	C0095.T.518141	C0198.N.518081	C0149.T.518132	C0294.T.518134	C0362.T.518026	JIDZEN4J.518073	C0318.T.518140	LRQ9WAHA.518036	C0149.N.518039	C0332.T.518017	C0308.N.518154	G2OD5ABL.518057	C0355.N.518077	C0388.T.518015	C0133.N.518051	C0318.N.518105	C0269.T.518150	C0198.T.518166	C0212.T.518155	C0325.N.518109	MQETMAZC.518171	C0342.N.518068	C0245.T.518151	32I9UNA9.518098	TV28IANZ.518070	C0378.T.518104	38U4VNBW.518090	A8A34NCW.518023	C0330.N.518148	41E1KAMA.517991	O436FAO8.518097	32I9UAPQ.518112	C0159.T.518087	G3UBQNDP.518121	C0256.N.518170	C0212.N.518167	C6.S.518082	MQE9OAS7.518008	A8A34AP9.518086	C0268.T.518114	C0209.T.518128	C0240.T.518052	C0330.T.518035	G3UBQAJU.518060	C0306.N.518003	QFHRSAG2.518005	UTWNWANU.518168	XBS5MA8H.517990	38U4VAHB.518100	BFJMKAKB.518159	C0209.N.517984	MQE9ONGV.518038	C0333.N.518126	YOTV6NC8.518156	C0271.T.518078	C0133.T.518133	C0334.N.518066	C0206.T.518053	C1.T.518120	C0211.N.518117	XZ33PN7O.518030	C0334.T.518147	C0342.T.518093	C0333.T.518046	C10.T.518056	YOTV6ASH.518142	C0252.T.518006	C0282.T.518000	I7ROLN9P.518079	C0394.T.518064	C0112.T.518024	C0186.T.518019	C0270.N.518041	C0311.N.518124	C0322.T.518018	C0335.T.518115	C0256.T.518080	C0275.N.518076	41E1KNBP.517985	XBS5MNEH.518074	C0112.N.518001	UTWNWN3P.518012	8XBKGN9F.518085	C0154.T.518091	C0308.T.518162	C0332.N.518027	C6.T.518061	C0235.T.518049	C1.S.518137	C0235.N.517993	C0245.N.518071	C0315.T.518034	BFJMKNMP.518102	8XBKGABK.517998	C0314.T.518025	O436FNP3.518007	C0398.T.518092	C3.S.517996	C3.T.517994
NR_024750.1_Coprococcus_catus_strain_VPI-C6-61_16S_ribosomal_RNA_gene__partial_sequence	0	65	21	7	14	4	2	3	10	1	5	30	15	0	10	15	1	14	0	2	7	1	49	59	1	1	0	7	5	13	14	33	59	18	0	37	10	0	26	9	0	12	10	28	0	9	12	19	31	0	18	9	2	20	47	8	26	16	4	3	4	22	3	22	3	14	0	13	14	13	1	17	0	2	0	0	4	13	0	0	19	17	0	3	9	60	34	1	0	0	0	0	6	68	36	9	0	0	15	45	1	5	27	7	0	40	4	15	2	1	8	9	24	0	0	62	3	0	44	3	4	0	0	28	0	2	12	15	0	44	3	3	16	4	0	41	1	0	0	0	0	9	0	0	40	0	18	10	1	0	47	4	52	5	0	2	2	0	1	0	1	0	13	15	0	0	8	0	48	1	0	8	0	0	3	1	0	2	0	3	0	0	0	0	3	0	0	0	0	0
NR_024719.1_{Clostridium}_hylemonae_strain_TN-272_16S_ribosomal_RNA_gene__partial_sequence	0	0	1	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	22	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024662.1_Pseudomonas_plecoglossicida_strain_FPC951_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0
NR_024709.1_Pseudomonas_hibiscicola_strain_ATCC_19867_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024703.1_Pseudomonas_carboxydohydrogena_strain_DSM_1083_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024733.1_Coprobacillus_cateniformis_strain_JCM_10604_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	4	0	0	0	1	0	0	0	0	3	0	4	0	4	0	18	22	0	99	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	4	0	1	0	0	1	1	0	2	0	6	1	0	0	4	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	8	0	0	1	0	4	4	60	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	17	0	0	0	0	0	0	5	0	3	2	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	5	0	0	8	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024785.1_Rothia_aeria_strain_A1-17B_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024884.1_Dechloromonas_agitata_strain_CKB_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
NR_024869.1_Treponema_socranskii_subsp._paredis_strain_ATCC_35535_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024816.1_Prevotella_salivae_strain_EPSA11_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	10	0	0	0	0	0	1	0	0	0
NR_024855.1_Propionivibrio_pelophilus_strain_asp_66_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
