project_name	project_id	num_samples	task_id	task_name	attributes	description	sample_type	study_design_notes	area	data_type	taskfn	otufn_refseq	otufn_gg	taxafn_refseq	taxafn_gg	control_vars
Yatsunenko 2012	yatsunenko	54	yatsunenko_malawi_venezuela	"malawi vs venezuela, adults only"	"COUNTRY: GAZ:Venezuela, GAZ:Malawi"	Individuals living in Malawi or Venezuela	human stool	"Individuals are older than age 18, and are all living in the Venezuela or Malawi"	Geography	binary	./datasets/yatsunenko/task-malawi-venezuela.txt	./datasets/yatsunenko/refseq/otutable.txt	http://metagenome.cs.umn.edu/public/MLRepo/yatsunenko2012.gg.otutable.txt	./datasets/yatsunenko/refseq/taxatable.txt	./datasets/yatsunenko/gg/taxatable.txt	N
Yatsunenko 2012	yatsunenko	129	yatsunenko_male_female	"male vs female, usa"	"SEX: male, female"	Males and females from the US	human stool	"Individuals are older than age 18, and are all living in the US"	Gender	binary	./datasets/yatsunenko/task-sex.txt	./datasets/yatsunenko/refseq/otutable.txt	http://metagenome.cs.umn.edu/public/MLRepo/yatsunenko2012.gg.otutable.txt	./datasets/yatsunenko/refseq/taxatable.txt	./datasets/yatsunenko/gg/taxatable.txt	N
Yatsunenko 2012	yatsunenko	150	yatsunenko_us_malawi	"us vs malawi, adults only"	"COUNTRY: GAZ:United States of America, GAZ:Malawi"	Individuals living in the US or Malawi	human stool	"Individuals are older than age 18, and are all living in the US or Malawi"	Geography	binary	./datasets/yatsunenko/task-usa-malawi.txt	./datasets/yatsunenko/refseq/otutable.txt	http://metagenome.cs.umn.edu/public/MLRepo/yatsunenko2012.gg.otutable.txt	./datasets/yatsunenko/refseq/taxatable.txt	./datasets/yatsunenko/gg/taxatable.txt	N
David 2014	david	18	david_animal_plant	"animal vs plant diet, last diet day"	"Diet: Plant, Animal"	Individuals on the last day of an animal or plant diet intervention	human stool	"Baseline on days -4-0, diet on days 0-4, washout on 4-10"	Diet	binary	./datasets/david/task.txt	./datasets/david/refseq/otutable.txt	./datasets/david/gg/otutable.txt	./datasets/david/refseq/taxatable.txt	./datasets/david/gg/taxatable.txt	Y
HMP 2012	hmp	2070	hmp_gastro_oral	gastrointestinal vs oral	"HMPBODYSUPERSITE: Oral, Gastrointestinal_tract, HOST_SUBJECT_ID"	Gastrointestinal tract and oral cavity of healthy adults	"human stool, oral"	"Multiple samples provided per body site per individual, control for HOST_SUBJECT_ID"	Body Habitat	binary	./datasets/hmp/task-gastro-oral.txt	./datasets/hmp/refseq/otutable.txt	./datasets/hmp/gg/otutable.txt	./datasets/hmp/refseq/taxatable.txt	./datasets/hmp/gg/taxatable.txt	Y
HMP 2012	hmp	404	hmp_stool_tongue	stool vs tongue	"HMPBODYSUBSITE: Stool, Tongue_dorsum; HOST_SUBJECT_ID"	Stool and tongue of healthy adults	"human stool, oral"	Samples collected from paired locations by HOST_SUBJECT_ID	Body Habitat	binary	./datasets/hmp/task-stool-tongue-paired.txt	./datasets/hmp/refseq/otutable.txt	./datasets/hmp/gg/otutable.txt	./datasets/hmp/refseq/taxatable.txt	./datasets/hmp/gg/taxatable.txt	Y
HMP 2012	hmp	408	hmp_sub_supra	subgingival vs supragingival plaque	"HMPBODYSUBSITE: Subgingival_plaque, Supragingival_plaque; HOST_SUBJECT_ID"	Subgingival and supragingival plague of healthy adults	oral	Samples collected from paired locations by HOST_SUBJECT_ID	Body Habitat	binary	./datasets/hmp/task-sub-supragingivalplaque-paired.txt	./datasets/hmp/refseq/otutable.txt	./datasets/hmp/gg/otutable.txt	./datasets/hmp/refseq/taxatable.txt	./datasets/hmp/gg/taxatable.txt	Y
Kostic 2012	kostic	172	kostic_healthy_tumor	"healthy vs tumor biopsy, paired"	"DIAGNOSIS: Healthy, Tumor; HOST_SUBJECT_ID"	Colorectal carcinoma tumors and adjacent nonaffected tissues	colon biopsies	Samples collected from paired locations by HOST_SUBJECT_ID	Cancer	binary	./datasets/kostic/task.txt	./datasets/kostic/refseq/otutable.txt	./datasets/kostic/gg/otutable.txt	./datasets/kostic/refseq/taxatable.txt	./datasets/kostic/gg/taxatable.txt	Y
Turnbaugh 2009	turnbaugh_twins	142	turnbaugh_lean_obese_all	"lean vs obese, mz/dz/mom"	"OBESITYCAT: Lean, Obese; ZYGOSITY: MZ, DZ, Mom"	Lean or Obese individuals (monozygotic or dyzygotic twins or their mothers)	human stool		Obesity	binary	./datasets/turnbaugh/task-obese-lean-all.txt	./datasets/turnbaugh/refseq/otutable.txt	./datasets/turnbaugh/gg/otutable.txt	./datasets/turnbaugh/refseq/taxatable.txt	./datasets/turnbaugh/gg/taxatable.txt	Y
Karlsson 2013	karlsson	96	karlsson_normal_diabetes	normal vs diabetes glucose tolerance	"Classification: NGT, T2D"	Normal or type 2 diabetes glucose tolerance categories	human stool		Diabetes	binary	./datasets/karlsson/task-normal-diabetes.txt	./datasets/karlsson/otutable.txt	NA	./datasets/karlsson/taxatable.txt	NA	N
Karlsson 2013	karlsson	101	karlsson_impaired_diabetes	impaired vs diabetes glucose tolerance	"Classification: IGT, T2D"	Impaired or type 2 diabetes glucose tolerance categories	human stool		Diabetes	binary	./datasets/karlsson/task-impaired-diabetes.txt	./datasets/karlsson/otutable.txt	NA	./datasets/karlsson/taxatable.txt	NA	N
Qin 2012	qin2012	124	qin_healthy_diabetes	healthy vs type 2 diabetes	"Diabetic: Y, N"	Healthy or type 2 diabetes patients	human stool	Chinese patients	Diabetes	binary	./datasets/qin2012/task-healthy-diabetes.txt	./datasets/qin2012/otutable.txt	NA	./datasets/qin2012/taxatable.txt	NA	N
Qin 2014	qin2014	130	qin_healthy_cirrhosis	healthy vs cirrhosis	"Cirrhotic: Cirrhosis, Healthy"	Healthy or cirrhosis patients	human stool	Chinese patients	Cirrhosis	binary	./datasets/qin2014/task-healthy-cirrhosis.txt	./datasets/qin2014/otutable.txt	NA	./datasets/qin2014/taxatable.txt	NA	N
